nama_resep,status,peringkat,match_persen
"Pakis, Daging, Tempe, santan",Berhasil,1,100
Oseng tempe lombok ijo,Berhasil,2,100
"Sayur tempe, terong & hati ayam",Berhasil,1,100
Mangut Lele & Tempe,Berhasil,2,100
Tahu tempe bacem ala anak kost,Berhasil,5,100
Tumis Baby Buncis Kornet Tempe,Berhasil,1,100
Gulai Kacang panjang tempe,Berhasil,1,100
Tumis Tempe Kikil Lada Hitam,Berhasil,1,100
👉 Sambal Goreng Hati sapi dan tempe 👈 #Ketopad,Berhasil,1,100
Sayur Tempe Lombok Ijo,Berhasil,1,100
Steak Tempe Sederhana,Berhasil,2,100
Tempe pedes,Berhasil,1,100
Lumpia udang kulit tahu ala fe',Berhasil,1,100
Bakso Ayam Udang Keto,Berhasil,1,100
Udang ala pop corn,Berhasil,1,100
Bakwan Udang Sederhana,Berhasil,1,100
Udang Goreng Tepung Mayonaise,Berhasil,1,100
Udang saus asam manis,Berhasil,1,100
Tekwan Kuah Udang,Berhasil,1,100
Sambal udang goreng,Berhasil,1,100
Udang asam manis oregano,Berhasil,1,100
Tumis buncis pakai udang,Berhasil,1,100
Udang saos padang,Berhasil,1,100
Udang Goreng Mentega,Berhasil,1,100
Udang pete balado,Berhasil,1,100
Bakso udang debm,Berhasil,1,100
Oseng Udang Pedas 🍤🌶️,Berhasil,2,100
Udang Goreng Tepung,Berhasil,2,100
Udang asam manis,Berhasil,1,100
Udang Saus Telor Asin,Berhasil,1,100
Udang sawi saori saus tiram😆😆,Berhasil,1,100
"Tumis kacang panjang,udang,tahu",Berhasil,1,100
Udang Goreng Saus Telur Asin,Berhasil,1,100
Udang Sambal Petai (Sangat Sederhana),Berhasil,1,100
Udang Saus Asam Manis 🍤,Berhasil,1,100
Daun Singkong Pepes Udang Tahu #praktis,Berhasil,2,100
Udang Saus Tiram,Berhasil,1,100
Sambal jeki udang,Berhasil,1,100
Siomay Ayam Udang,Berhasil,1,100
Sambel Goreng Udang Tahu,Berhasil,1,100
Tumis Udang tempe kacang panjang,Berhasil,1,100
Tumis Labu Udang,Berhasil,1,100
Martabak telur udang,Berhasil,1,100
Tumis udang sayur,Berhasil,1,100
Asam manis Udang tahu,Berhasil,1,100
Cah buncis udang cumi _ menudiet DEBM,Berhasil,1,100
Tahu ayam udang,Berhasil,1,100
Udang Tumis Cabe Ijo,Berhasil,1,100
Udang Kentang Balado,Berhasil,1,100
Udang Sambel Terasi,Berhasil,3,100
Udang lada hitam,Berhasil,2,100
Perkedel Udang,Berhasil,1,100
"Tumis tempe, udang,ati ampela",Berhasil,1,100
Udang Saus Tiram,Berhasil,1,100
Sambel udang pete,Berhasil,1,100
Cah udang dan kol,Berhasil,1,100
Oseng Tempe Kacang Panjang Udang,Berhasil,1,100
Tumis Pokcoy Udang,Berhasil,1,100
Udang tepung oatmeal telor asin,Berhasil,1,100
Siomay Ayam Udang,Berhasil,1,100
Tumis udang kikil,Berhasil,1,100
Bubur udang asparagus saos madu,Berhasil,1,100
Udang Bakar Madu,Berhasil,1,100
Udang Rica Pedas,Berhasil,4,100
Tumis Jamur Tiram Udang,Berhasil,1,100
Sambal Goreng Kentang Udang,Berhasil,1,100
"Udang, Tempe, Terong balado",Berhasil,1,100
Kwetiaw Udang,Berhasil,1,100
Tahu Udang Tauco,Berhasil,1,100
Ca buncis brokoli udang wortel,Berhasil,1,100
Udang saus inggris,Berhasil,1,100
Bakso Sapi & Udang cah Paprika,Berhasil,1,100
Perkedel Tahu Udang,Berhasil,1,100
Sup oyong udang,Berhasil,1,100
Balado kentang+udang,Berhasil,2,100
Udang macaroni,Berhasil,1,100
Udang goreng pedas gurih,Berhasil,1,100
Tumis kangkung udang terasi pedas,Berhasil,1,100
Tumis Udang dan Tahu,Berhasil,1,100
Tumis Udang Pete n Daun Putut,Berhasil,1,100
Udang Tumis cabai hijau,Berhasil,5,100
Tumis buncis udang pedas simpel,Berhasil,1,100
Orak arik telur buncis,Berhasil,1,100
Telur Kornet,Berhasil,1,100
Tahu telur surabaya,Berhasil,1,100
Ceplok Telor saus Asam Manis,Berhasil,1,100
Potatoes cheese with egg,Berhasil,1,100
TTKK (tahu telur timun tauge kuah kacang),Berhasil,1,100
Semur kering telur kentang,Berhasil,1,100
Kari tahu telur kentang,Berhasil,1,100
Buncis Cah Telur,Berhasil,1,100
Telur Tahu Kukus Goreng,Berhasil,1,100
Telur Dadar Daging,Berhasil,1,100
Pangsit Goreng Isi Bihun Telur,Berhasil,1,100
Semur kentang telur,Berhasil,1,100
Telor dadar endol,Berhasil,1,100
Otak Sapi Goreng Telur,Berhasil,1,100
Bali kecap telur ayam,Berhasil,1,100
Telur gulung korea/roll egg korean,Berhasil,1,100
Tahu Goreng Telur Simple,Berhasil,1,100
Cah Buncis Telur,Berhasil,1,100
Egg roll lembut harum,Berhasil,1,100
Kari tahu dan telur,Berhasil,1,100
Tempe Goreng Telur,Berhasil,2,100
Telur Gulung Keju,Berhasil,2,100
Semur Kecap Tahu Telur,Berhasil,1,100
Tahu Telur Kol Bumbu Kecap,Berhasil,1,100
Telor Gulung Sosis,Berhasil,1,100
Mie goreng sosis telur,Berhasil,1,100
Telur Korea,Berhasil,1,100
Bihun Goreng Tabur Telur,Berhasil,1,100
Balado ikan cakalang dan telur,Berhasil,1,100
"Nasi Goreng Komplit (Sosis, Bakso Ikan dan Telor Ceplok)",Berhasil,1,100
Ati Ampela plus telur sambel tomat,Berhasil,1,100
Tumis (BTW) buncis telur wortel,Berhasil,1,100
Telur Kukus Praktis dan Sehat,Berhasil,1,100
Orak arik telur endolita,Berhasil,1,100
Pindang tongkol selimut telur,Berhasil,1,100
Cah Wortel Kol Telur,Berhasil,1,100
"Balado terong, telur, teri & kentang",Berhasil,1,100
Tumis telur pete,Berhasil,1,100
Tumis buncis telur,Berhasil,1,100
Orak Arik Telur Sosis,Berhasil,1,100
Tahu tempe telor bumbu bali ala mommies,Berhasil,1,100
Menu diet kentang dan telur tamagoyaki,Berhasil,1,100
Tahu telur ala surabaya (siram sambel pecel),Berhasil,1,100
Telor sambal,Berhasil,1,100
Telur kornet keto,Berhasil,1,100
Oseng bayam telur,Berhasil,1,100
CILOR aci telor ala Bandung,Berhasil,1,100
Egg Salted Fettuccini,Berhasil,1,100
Opor ayam dan telur,Berhasil,1,100
Tahu Telur Daun Mint,Berhasil,1,100
Balado Telur Rebon,Berhasil,2,100
Nasi goreng telur,Berhasil,1,100
Lumpia isi tahu + telur,Berhasil,2,100
Semur telur kentang tahu,Berhasil,1,100
Sup Ayam Telur Kocok,Berhasil,1,100
Steak tamagoyaki (telur korea),Berhasil,1,100
Pempek telor no msg,Berhasil,2,100
Mie Goreng Sosis Telur,Berhasil,1,100
Telur dadar spesial hari ini,Berhasil,3,100
Sayur obor daun katuk + teri+telur,Berhasil,1,100
Egg Roll Mozarella,Berhasil,1,100
Rolade telur,Berhasil,1,100
Sambal balado telur dan ikan cue,Berhasil,3,100
Oseng Buncis Cambah Telor Sosis,Berhasil,1,100
Opor Ayam Telor Tahu,Berhasil,1,100
Telur Rebus sambal matah DEBM,Berhasil,2,100
Oatmeal telur,Berhasil,1,100
Telur kentang balado,Berhasil,1,100
Gongso ayam + telur,Berhasil,1,100
Ayam cabai kawin,Berhasil,1,100
Ayam Geprek,Berhasil,1,100
Nasi Bakar Ayam,Berhasil,70,100
Ayam Saus Hintalu Jaruk,Berhasil,71,100
Steak ayam,Berhasil,1,100
Ayam Saos Asam Manis Simple,Berhasil,1,100
Mie Ayam Homemade by suami😂😂😂,Berhasil,41,100
Ayam Bakar Pedas Manis Resep :Nila Sari,Berhasil,1,100
Semur Ayam Kentang Ala Mama Kirana,Berhasil,1,100
Ayam suwir,Berhasil,2,100
Ayam goreng tepung,Berhasil,71,100
Sop ayam,Berhasil,1,100
Nugget Ayam Home Made,Berhasil,71,100
Ayam Koloke,Berhasil,1,100
Ayam Suir Bali (bemesere bali),Berhasil,1,100
Pindang ayam jadul,Berhasil,1,100
Ayam Kacang Panjang Saos Hoisin,Berhasil,1,100
Tongseng ayam,Berhasil,1,100
Ayam penyet sambel kemangi,Berhasil,1,100
Nugget Ayam Wortel,Berhasil,71,100
Sop Ayam Garang Asam,Berhasil,1,100
Ayam goreng krutuk,Berhasil,72,100
Ayam panggang saos kecap,Berhasil,3,100
Soto ayam kuah santan,Berhasil,19,100
Seblak Mie Tulang Ayam,Berhasil,42,100
Sweet Buffalo Chicken 🐔,Berhasil,1,100
Ayam Garang Asem,Berhasil,1,100
Ayam Asam Manis Rumahan citarasa Resto,Berhasil,1,100
Ayam goreng tepung simple,Berhasil,71,100
Sop Balungan Ayam,Berhasil,1,100
Soto Ayam Surabaya,Berhasil,71,100
Risoles rogut ayam,Berhasil,71,100
Ayam masak kicap ala malay,Berhasil,1,100
Ayam tepung,Berhasil,71,100
Ayam goreng bakar kecap,Berhasil,1,100
Somay ayam bumbu kacang,Berhasil,141,100
Ayam Goreng Telur,Berhasil,71,100
Nuttget ayam+sayur,Berhasil,71,100
Ayam fillet asam manis,Berhasil,71,100
Ayam penyet ala sy,Berhasil,2,100
Broccoli Rice with Grilled Chicken (menu sehat),Berhasil,1,100
Ayam goreng kremes renyah + sambal trasi🌶🍅🍗,Berhasil,1,100
Mie ayam,Berhasil,41,100
Ayam richeese saos fire & keju,Berhasil,72,100
Sup kembang tahu+bakso ayam,Berhasil,1,100
"Semur Ati Ayam, Telur Puyuh, Tahu",Berhasil,1,80
Steak ayam saos lada Hitam,Berhasil,71,100
Ayam Santan Ngamuk,Berhasil,1,100
Ayam asam manis,Berhasil,71,100
Siomay Ayam Udang,Berhasil,1,100
Sup Ayam Segarrrrr,Berhasil,1,100
Steak ayam panir keju,Berhasil,73,100
Grilled chicken breast,Berhasil,1,100
Sambal ayam penyet,Berhasil,1,100
Chicken Pop Bumbu Sambel Bawang Tumis,Berhasil,4,100
Soto ayam special,Berhasil,71,100
Ayam Goreng Tepung,Berhasil,74,100
Soto ayam,Berhasil,1,100
Ayam Dan Tempe Goreng Serundeng,Berhasil,1,80
Nugget ayam simpel,Berhasil,71,100
Ayam Goreng ala Kentucky,Berhasil,71,100
Ayam Krispy Sambal Matah,Berhasil,71,100
Ayam brokoli saus teriyaki,Berhasil,1,100
Ayam KFC ala NR,Berhasil,73,100
Karii Ayam Simple 🐔,Berhasil,1,100
Risol sayuran + daging ayam,Berhasil,71,100
Soto ayam kediri,Berhasil,71,100
Ayam Rica Crispy,Berhasil,71,100
Chicken wings cola,Berhasil,1,100
Ayam suir kecap,Berhasil,1,100
Sate Kambing,Berhasil,1,100
Gulai kambing,Berhasil,1,100
Sayur tulang kambing,Berhasil,1,100
Sate Kambing,Berhasil,1,100
Sop Kaki Kambing,Berhasil,1,100
Kari kambing ala bundo,Berhasil,1,100
Tongseng kambing presto,Berhasil,1,100
Gule kambing pedas #keto,Berhasil,2,100
Sate Kambing Maranggi,Berhasil,1,100
Tongseng kambing,Berhasil,1,100
Gulai Kambing,Berhasil,1,100
Tongseng Kambing,Berhasil,2,100
Tongseng Kambing Enak,Berhasil,1,100
Balado kentang dan ati kambing,Berhasil,1,100
Tongseng Kambing ala Mey,Berhasil,1,100
Nasi goreng kari kambing,Berhasil,1,100
Sop kambing,Berhasil,1,100
Steak Daging Kambing Crispy ala-ala,Berhasil,1,100
Nasi goreng kari kambing,Berhasil,1,100
Sop kambing,Berhasil,1,100
Tongseng Kambing,Berhasil,1,100
SOP Kambing Muda,Berhasil,1,100
Kari Kambing,Berhasil,3,100
Soto Kambing Kuah Bening Mang Yudi (#pr_homemadestreetfood),Berhasil,1,100
Tongseng Kambing (NO MSG),Berhasil,4,100
Tongseng Kambing,Berhasil,1,100
“Tongseng Kambing”,Berhasil,1,100
Presto kambing bumbu kecap,Berhasil,1,100
Soup tulang kambing 🍲,Berhasil,1,100
Tongseng Kambing Praktis,Berhasil,3,100
Bledek kambing,Berhasil,1,100
Lemak tulang kambing kuah santan,Berhasil,1,100
Tongseng Kambing 🐐,Berhasil,4,100
Tongseng kambing tanpa santan,Berhasil,2,100
Curry kambing India,Berhasil,1,100
Sop iga kambing,Berhasil,1,100
Tongseng kambing,Berhasil,2,100
Sop tulang iga kambing,Berhasil,1,100
Sate kambing bumbu kacang,Berhasil,1,100
Nasi kebuli kambing,Berhasil,1,100
Sate kambing,Berhasil,1,100
Tengkleng kambing,Berhasil,1,100
Gulai kambing,Berhasil,1,100
Asem-asem Iga Kambing,Berhasil,1,100
Marak (Sop Kambing Khas Timur Tengah),Berhasil,2,100
Nasi kambing (nasi Arab),Berhasil,1,100
Sate kambing,Berhasil,1,100
Sambal Goreng Daging Kambing Tahu,Berhasil,1,100
Rendang bumbu kuning pedas (daging kambing),Berhasil,2,100
Sop Iga Kambing,Berhasil,1,100
Tongseng kambing dadakaan :D,Berhasil,6,100
Tengkleng Kambing Bumbu Instan,Berhasil,1,100
Tonseng Kambing,Berhasil,1,100
Nasgor Kambing (Memanfaatkan sate dan gulai),Berhasil,1,100
Sop kikil (kaki kambing),Berhasil,1,100
Sate Kambing bumbu kecap,Berhasil,1,100
Kikil kambing Pedas Manis,Berhasil,1,100
Marak daging kambing,Berhasil,1,100
Sup Kaki Kambing,Berhasil,2,100
Sop kambing kuah bening,Berhasil,1,100
Tongseng Kambing,Berhasil,1,100
Sop kambing,Berhasil,1,100
Daging kambing oseng mercon,Berhasil,1,100
Krengsengan kambing,Berhasil,2,100
Gulai Daging Kambing,Berhasil,6,100
Sambel goreng hati kambing dan kentang,Berhasil,1,100
Gulai kambing aceh,Berhasil,7,100
Tongseng daging kambing,Berhasil,7,100
Sate kambing goreng,Berhasil,3,100
Bestik kambing solo 🐐 🐐,Berhasil,1,100
Martabak tahu pedas kulit lumpia,Berhasil,1,100
Sayur Sutace (sop tahu ceker),Berhasil,1,100
TTKK (tahu telur timun tauge kuah kacang),Berhasil,1,100
Perkedel Tahu Wortel Sederhana,Berhasil,1,100
Kari tahu telur kentang,Berhasil,1,100
Sundubu Jjigae (sup tahu pedas ala2 korea),Berhasil,1,100
Nugget Tahu Ekonomis Anti Gagal,Berhasil,2,100
Sayur tahu jengkol,Berhasil,1,100
Mung tahu',Berhasil,1,100
Tahu isi Enak,Berhasil,1,100
Balado Tongkol & Tahu,Berhasil,1,100
Tahu cabe garam,Berhasil,1,100
Tumis Broccoli Tahu Jepang dengan Saus Tiram,Berhasil,1,100
Cah sawi hijau tahu putih,Berhasil,1,100
Bakso tahu goreng saus pedas,Berhasil,3,100
Telur Tahu Kukus Goreng,Berhasil,1,100
Tahu Crispy,Berhasil,1,100
Sayur tempe mix tahu alaala kari,Berhasil,1,100
Sayur bening BATA JAWO(bayem tahu jagung wortel),Berhasil,1,100
Sop Tahu Sederhana,Berhasil,1,100
"Tumis kacang panjang,udang,tahu",Berhasil,1,100
Perkedel Tahu,Berhasil,1,100
Martabak Tahu Kulit Lumpia,Berhasil,2,100
Tahu isi soun,Berhasil,1,100
Asinan tahu melotot,Berhasil,2,100
Daun Singkong Pepes Udang Tahu #praktis,Berhasil,1,100
Tahu sumpel/tahu isi sayuran,Berhasil,1,100
Sayur nDeso (Sayur Tahu Cabe Ijo),Berhasil,1,100
Tempe & Tahu Bacem,Berhasil,1,100
Martabak isi tahu pedas,Berhasil,1,100
Tahu mahkota / tahu bihun,Berhasil,1,100
Tahu Aci,Berhasil,1,100
"Semur Ati Ayam, Telur Puyuh, Tahu",Berhasil,1,100
Jangan Tempe Tahu,Berhasil,1,100
Tahu Goreng Telur Simple,Berhasil,1,100
Tahu telur beujeUkkkk (hancur)versi sundaan,Berhasil,1,100
Martabak Tahu,Berhasil,1,100
Tahu Tumis Sawi Saori Deva,Berhasil,2,100
Tahu telor malang sederhana,Berhasil,1,100
Kari tahu dan telur,Berhasil,1,100
Kupat tahu (tanpa kupat),Berhasil,1,100
Sapo tahu saus telur asin,Berhasil,1,100
Oseng Tahu Campur,Berhasil,1,100
"Mangut Ikan Asap, Tahu, Telur puyuh #menuanak",Berhasil,1,100
Bihun tahu kuah,Berhasil,1,100
Batagor tahu bumbu kacang,Berhasil,1,100
Terik tahu tempe labu siam jipang,Berhasil,1,100
Asam manis Udang tahu,Berhasil,1,100
Bakwan Tahu Sayur Campur,Berhasil,1,100
Tumis caisin tahu,Berhasil,1,100
Rolade Tahu Pedas,Berhasil,1,100
Tim Tahu,Berhasil,1,100
Tahu ayam udang,Berhasil,1,100
Sop Tahu Fantasi,Berhasil,1,100
Sayur Oseng Buncis Tahu,Berhasil,1,100
Semur Kecap Tahu Telur,Berhasil,1,100
Gulai pakis tahu ikanasin,Berhasil,1,100
Tuna Tahu Bumbu Merah 🐟,Berhasil,1,100
Tahu rambutan,Berhasil,2,100
Sup tahu pedas,Berhasil,1,100
Opor Ayam Tahu,Berhasil,1,100
"Semur Ayam, Tahu, Kentang",Berhasil,1,100
Tongseng ayam tahu,Berhasil,1,100
Kothok Pindang Tahu,Berhasil,1,100
Tahu Telur Kol Bumbu Kecap,Berhasil,1,100
Stik Tahu (Gorengan Sehat) dengan Bahan Seadanya,Berhasil,1,100
Tahu Goreng Pedas,Berhasil,1,100
Oseng tahu goreng(coklat)with kol/Kol,Berhasil,1,100
Balado puyuh tahu dan kentang,Berhasil,1,100
Tumis Buncis Tahu Pedas,Berhasil,1,100
Rendang Sapi,Berhasil,1,100
Tongseng daging sapi pedas,Berhasil,1,100
Tongseng daging sapi,Berhasil,1,100
Beef steak saus jamur,Berhasil,1,100
Sayur sop daging sapi no MSG no Gula,Berhasil,1,100
Asem asem daging sapi,Berhasil,1,100
Steak sapi parud keju,Berhasil,1,100
Lumpia isi daging sapi & kol,Berhasil,1,100
Tongseng sapi,Berhasil,1,100
Soto Daging Sapi Lobak& Wortel,Berhasil,1,100
Tumis buncis cah daging sapi,Berhasil,1,100
Kornet Sapi,Berhasil,1,100
Bakso Sapi,Berhasil,1,100
Bakso Sapi & Udang cah Paprika,Berhasil,1,100
Sukiyaki beef enoki dan tahu,Berhasil,1,100
Sop Tulang Sapi (sederhana),Berhasil,1,100
Semur daging sapi,Berhasil,1,100
Mie Goreng Sapi Brokoli,Berhasil,1,100
OVERNIGHT SOFT BUN ROTI ISI BAKSO SAPI sistem biang,Berhasil,1,100
Rendang Daging Sapi Kentang,Berhasil,2,100
"Sayur Nangka Kelapa Sengara, iga sapi...enakkk",Berhasil,1,100
Sop daging sapi rempah,Berhasil,1,100
Cah kangkung sapi,Berhasil,1,100
Tongseng daging sapi by adilly_kitchen,Berhasil,1,100
Rendang daging sapi istimewa,Berhasil,3,100
👉 Sambal Goreng Hati sapi dan tempe 👈 #Ketopad,Berhasil,1,100
Beef steak with bbq sauce,Berhasil,1,100
Japanese Beef Curry with Instant Roux,Berhasil,1,100
Rendang daging sapi,Berhasil,2,100
Sapi tumis wortel saus tiram pedas nikmat,Berhasil,1,100
Rendang daging sapi,Berhasil,1,100
Bakso sapi home made,Berhasil,1,100
Brokoli tumis daging sapi,Berhasil,1,100
Sambel goreng kentang santan+ ati sapi 👍,Berhasil,4,100
Sambal Kentang + Bakso Sapi,Berhasil,1,100
Beef mashroom,Berhasil,1,100
Hati sapi + kentang puedes,Berhasil,1,100
Dendeng sapi bumbu kecap,Berhasil,1,100
Beef stew dan mashed potatoes,Berhasil,1,100
Tongseng Sapi,Berhasil,1,100
Sop Iga Sapi,Berhasil,2,100
"Tumis Beby buncis, daging sapi",Berhasil,1,100
Kalio Daging Sapi,Berhasil,1,100
Bekal sehat dengan beef BBQ,Berhasil,1,100
Pare ayam daging sapi,Berhasil,1,100
Rawon Sapi,Berhasil,1,100
Tongseng daging sapi,Berhasil,1,100
Tongseng sapi simple,Berhasil,2,100
Sop bening daging sapi,Berhasil,2,100
Sop iga sapi sayuran,Berhasil,3,100
Oseng2 Kulit Sapi & Tahu,Berhasil,1,100
Rolade kornet sapi,Berhasil,2,100
Lodeh kikil sapi,Berhasil,1,100
Beef crispy steak sauce mushroom,Berhasil,2,100
Semur daging sapi,Berhasil,1,100
Sambel Goreng Hati Sapi Endesss,Berhasil,1,100
Rendang Sapi Simple,Berhasil,3,100
Tumis Sawi sendok pete daging sapi,Berhasil,1,100
Tongseng Iga dan Kikil Sapi,Berhasil,2,100
Brokoli siram sapi lada hitam,Berhasil,1,100
Sop iga sapi segar,Berhasil,1,100
Gulai Padang Ati Sapi,Berhasil,1,100
Kwetiau Sapi Goreng,Berhasil,1,100
Kulit sapi Bumbu santan kering,Berhasil,1,100
Tongseng daging sapi,Berhasil,1,100
Empleng daging sapi kentang,Berhasil,1,100
Hati💓 Sapi Masak Kecap,Berhasil,2,100
Sop iga sapi kekinian,Berhasil,1,100
Sambel Ati Sapi,Berhasil,1,100
Gulai tahu + kikil sapi,Berhasil,1,100
Tumis Sardine Kacang Panjang,Berhasil,71,100
Sayur tahu jengkol,Berhasil,1,80
"Tumis sawi, tahu cambah,",Berhasil,71,100
Tumis sawi + tahu simple,Berhasil,71,100
Bihun tahu kuah,Berhasil,1,80
Sayur Oseng Buncis Tahu,Berhasil,1,80
Tumis tahu kacang panjang,Berhasil,71,100
Oseng tahu goreng(coklat)with kol/Kol,Berhasil,1,100
Tumis Buncis Tahu Pedas,Berhasil,1,100
Sayur tahu kacang panjang labusiam,Berhasil,71,100
Tumis Kacang Panjang Tahu Tauco,Berhasil,71,100
Sambal goreng kentang cornet tahu😊,Berhasil,140,100
